part_number,group,description,spec,M240i_F22,M140i_F20N,340i_F30N
07 11 9 904 511,brakes,Hex bolt with washer,M6X12-U1,Y,Y,Y
07 11 9 905 515,brakes,Hex nut,M8-8-ZNNIV SI,Y,Y,Y
07 11 9 906 106,brakes,Screw pan,M4X8-8.8-ZNNIV,Y,Y,Y
07 12 9 904 567,brakes,Circlip,B10-ZNS3,Y,Y,Y
07 12 9 906 196,brakes,Self-locking hex nut,M8-8-ZNNI SI,Y,Y,Y
07 14 6 971 298,brakes,Hex bolt with washer,M6X35 ZNS3,Y,Y,Y
07 14 6 977 328,brakes,Spacer sleeve,ZNS3,Y,Y,Y
07 14 6 986 935,brakes,Hex nut wiht flange,M6,Y,Y,
11 66 7 591 538,brakes,Holder,,Y,Y,
11 66 7 601 031,brakes,Vacuum pipe with non-return valve,R •,Y,Y,Y
11 66 7 603 052,brakes,Vacuum pipe,,Y,Y,
11 66 7 613 026,brakes,Vacuum pipe with non-return valve,• L,Y,Y,Y
11 66 7 644 877,brakes,Clip,,Y,Y,Y
11 66 8 600 882,brakes,Vacuum pipe,,,,Y
13 31 1 714 453,brakes,Tubing support,,Y,Y,
13 53 7 582 770,brakes,ASA-Bolt,M8X17.5-AL,Y,Y,
16 12 7 258 742,brakes,"Wiring clip, quadruple",,Y,Y,Y
34 10 6 772 427,brakes,Torx screw,M6X10 ZNS3,Y,Y,Y
34 10 6 790 925,brakes,Protective plug,,,,Y
34 10 6 790 926,brakes,Guiding bolt,,,,Y
34 10 6 797 602,brakes,"Brake rotor, ventilated, front",340X30,Y,Y,Y
34 10 6 797 603,brakes,"Brake rotor, ventilated, front",370X30,,,Y
34 10 6 797 606,brakes,"Brake rotor, light blue, ventilated",370X30,,,Y
34 10 6 859 067,brakes,"Repair kit, brake pads asbestos-free",,,,Y
34 10 6 878 878,brakes,"Repair kit, brake pads asbestos-free",,,,Y
34 11 6 772 117,brakes,Hex bolt,"M12X1,5X43 ZNS3",Y,Y,Y
34 11 6 772 886,brakes,Hex bolt,M6X12-Z1-8.8 MK,Y,Y,Y
34 11 6 780 508,brakes,Dust cap,,Y,Y,Y
34 11 6 780 509,brakes,Ventilation valve,,Y,Y,Y
34 11 6 792 223,brakes,"Brake rotor, light blue, ventilated",340X30,Y,Y,Y
34 11 6 792 237,brakes,Protection plate left,,Y,Y,Y
34 11 6 792 238,brakes,Protection plate left,,Y,Y,Y
34 11 6 799 465,brakes,Caliper housing left,,Y,Y,
34 11 6 799 466,brakes,Caliper housing left,,Y,Y,
34 11 6 799 469,brakes,Caliper housing left,,,,Y
34 11 6 799 470,brakes,Caliper housing left,,,,Y
34 11 6 850 931,brakes,Caliper housing left,,,,Y
34 11 6 850 932,brakes,Caliper housing left,,,,Y
34 11 6 850 934,brakes,Guide pin,,Y,Y,Y
34 11 6 850 935,brakes,Repair set brake caliper,,Y,Y,Y
34 11 6 852 852,brakes,Repair kit ventilation valve,,,,Y
34 11 6 859 066,brakes,"Repair kit, brake pads asbestos-free",,Y,Y,Y
34 11 6 862 801,brakes,Expansion spring,,Y,Y,Y
34 11 6 865 460,brakes,"Repair kit, brake pads asbestos-free",,,,Y
34 11 6 865 537,brakes,Caliper housing left,,,,Y
34 11 6 865 538,brakes,Caliper housing left,,,,Y
34 11 6 868 785,brakes,Hex bolt,M6X12-10.9-MK-,Y,Y,Y
34 11 6 872 081,brakes,Protection plate left,,Y,Y,Y
34 11 6 872 082,brakes,Protection plate left,,Y,Y,Y
34 11 6 875 649,brakes,Caliper housing left,,,,Y
34 11 6 875 650,brakes,Caliper housing left,,,,Y
34 11 6 876 641,brakes,"Repair kit, brake pads asbestos-free",,,,Y
34 11 6 878 876,brakes,"Repair kit, brake pads asbestos-free",,Y,Y,Y
34 11 6 878 882,brakes,"Repair kit, brake pads asbestos-free",,,,Y
34 20 6 797 598,brakes,"Brake rotor, ventilated, drilled, rear",345X24,Y,Y,
34 20 6 797 600,brakes,"Brake rotor, ventilated, drilled, rear",345X24,,,Y
34 20 6 797 605,brakes,"Brake rotor, light blue, ventilated",345X24,Y,Y,
34 20 6 797 607,brakes,"Brake rotor, light blue, ventilated",345X24,,,Y
34 20 6 799 813,brakes,"Repair kit, brake pads asbestos-free",,,,Y
34 20 6 850 536,brakes,Hex screw with collar,"M12X1,5X32 ZNS3",Y,Y,Y
34 21 1 161 806,brakes,Inner hex bolt,M8X14,Y,Y,Y
34 21 1 164 044,brakes,Hex bolt,M8,Y,Y,Y
34 21 6 771 429,brakes,Supporting ring brake shoe,D=160MM,Y,Y,
34 21 6 771 430,brakes,Supporting ring brake shoe,D=185MM,,,Y
34 21 6 792 243,brakes,Protection plate left,,Y,Y,
34 21 6 792 244,brakes,Protection plate left,,Y,Y,
34 21 6 792 247,brakes,Protection plate left,,,,Y
34 21 6 792 248,brakes,Protection plate left,,,,Y
34 21 6 799 461,brakes,Caliper housing left,,,,Y
34 21 6 799 462,brakes,Caliper housing left,,,,Y
34 21 6 850 570,brakes,"Repair kit, brake pads asbestos-free",,,,Y
34 21 6 850 859,brakes,Repair set brake caliper,,,,Y
